	AD	C
Oscillospirales	0.219528698811312	0.350304083415181
Enterobacterales	0.165002988464944	0.185034063614758
Lachnospirales	0.120884494708743	0.186708622767034
Bifidobacteriales	0.158932129559723	0.0512404731806592
Bacteroidales	0.0907840660492194	0.0754879047017717
Verrucomicrobiales	0.072374512712951	0.00621485416852277
Lactobacillales	0.0408542848095305	0.0229307842090943
Coriobacteriales	0.0399768080837082	0.0172235534794154
Veillonellales_Selenomonadales	0.0175197504697191	0.0280727663193869
Clostridiales	0.0050175439458677	0.0262730530347848
Peptostreptococcales_Tissierellales	0.00994592308599469	0.0133821200651971
Erysipelotrichales	0.0143200257616891	0.00586901691126119
Christensenellales	0.0110667950122798	0.00526282117684674
Monoglobales	0.00473215241299403	0.00689848322163878
Acidaminococcales	0.00573813244244518	0.00255192851088952
Clostridia_UCG_014	0.0032906086770119	0.00532087714145445
Methanobacteriales	0.00486947323971706	0.000669923607300072
Fusobacteriales	0.00267932358316867	0.00189380958851447
Desulfovibrionales	0.00274230865956584	0.00151284056408609
Burkholderiales	0.000644592508542346	0.00280860420837924
Other	0.00909538700087214	0.00433941611382484
