index,d__Archaea,d__Bacteria,Group,sampleid_description
AD01,0.0,10971.0,AD,AD01
AD04,0.0,13993.0,AD,AD04
AD05,0.0,19168.0,AD,AD05
AD07,0.0,20399.0,AD,AD07
AD08,0.0,27163.0,AD,AD08
AD09,0.0,20409.0,AD,AD09
AD10,0.0,12859.0,AD,AD10
AD100,0.0,24552.0,AD,AD100
AD101,0.0,17609.0,AD,AD101
AD102,0.0,26015.0,AD,AD102
AD103,0.0,14411.0,AD,AD103
AD104,0.0,16901.0,AD,AD104
AD105,0.0,15354.0,AD,AD105
AD106,0.0,23936.0,AD,AD106
AD107,0.0,22366.0,AD,AD107
AD108,0.0,21135.0,AD,AD108
AD109,0.0,26001.0,AD,AD109
AD11,8.0,21692.0,AD,AD11
AD110,3.0,26280.0,AD,AD110
AD111,1294.0,21548.0,AD,AD111
AD112,0.0,23530.0,AD,AD112
AD113,13.0,23747.0,AD,AD113
AD114,0.0,21751.0,AD,AD114
AD116,0.0,21065.0,AD,AD116
AD118,162.0,25053.0,AD,AD118
AD119,0.0,24220.0,AD,AD119
AD12,0.0,13149.0,AD,AD12
AD120,4.0,31182.0,AD,AD120
AD121,0.0,30331.0,AD,AD121
AD122,0.0,31195.0,AD,AD122
AD123,0.0,24094.0,AD,AD123
AD125,0.0,24620.0,AD,AD125
AD126,0.0,25239.0,AD,AD126
AD127,81.0,29398.0,AD,AD127
AD13,0.0,14405.0,AD,AD13
AD14,0.0,14090.0,AD,AD14
AD16,0.0,11978.0,AD,AD16
AD17,0.0,15244.0,AD,AD17
AD18,0.0,13785.0,AD,AD18
AD19,0.0,20632.0,AD,AD19
AD20,0.0,13523.0,AD,AD20
AD21,0.0,16273.0,AD,AD21
AD22,0.0,16785.0,AD,AD22
AD23,0.0,14652.0,AD,AD23
AD24,0.0,17080.0,AD,AD24
AD25,0.0,14605.0,AD,AD25
AD26,68.0,15795.0,AD,AD26
AD27,0.0,16876.0,AD,AD27
AD29,0.0,27395.0,AD,AD29
AD30,0.0,23864.0,AD,AD30
AD31,234.0,24820.0,AD,AD31
AD32,5.0,26851.0,AD,AD32
AD33,0.0,27050.0,AD,AD33
AD34,0.0,22800.0,AD,AD34
AD35,0.0,17996.0,AD,AD35
AD36,0.0,39138.0,AD,AD36
AD37,0.0,21954.0,AD,AD37
AD40,0.0,17713.0,AD,AD40
AD41,0.0,19110.0,AD,AD41
AD47,0.0,19086.0,AD,AD47
AD50,0.0,24899.0,AD,AD50
AD53,0.0,33985.0,AD,AD53
AD54,0.0,23198.0,AD,AD54
AD55,43.0,25883.0,AD,AD55
AD58,26.0,21292.0,AD,AD58
AD59,0.0,22090.0,AD,AD59
AD60,2586.0,29084.0,AD,AD60
AD61,0.0,24276.0,AD,AD61
AD62,0.0,22763.0,AD,AD62
AD63,0.0,16861.0,AD,AD63
AD64,0.0,18427.0,AD,AD64
AD65,0.0,20191.0,AD,AD65
AD66,0.0,19228.0,AD,AD66
AD67,0.0,22345.0,AD,AD67
AD68,0.0,15150.0,AD,AD68
AD69,0.0,21020.0,AD,AD69
AD70,0.0,16812.0,AD,AD70
AD71,0.0,22524.0,AD,AD71
AD74,0.0,21367.0,AD,AD74
AD75,122.0,23525.0,AD,AD75
AD76,0.0,26876.0,AD,AD76
AD77,0.0,20500.0,AD,AD77
AD78,10513.0,25058.0,AD,AD78
AD79,0.0,35354.0,AD,AD79
AD80,203.0,27505.0,AD,AD80
AD83,348.0,25267.0,AD,AD83
AD84,0.0,23868.0,AD,AD84
AD85,0.0,22421.0,AD,AD85
AD86,0.0,22797.0,AD,AD86
AD88,0.0,21729.0,AD,AD88
AD89,0.0,26740.0,AD,AD89
AD90,0.0,29983.0,AD,AD90
AD91,0.0,25491.0,AD,AD91
AD92,0.0,28212.0,AD,AD92
AD93,0.0,31117.0,AD,AD93
AD94,0.0,23801.0,AD,AD94
AD96,0.0,23755.0,AD,AD96
AD97,0.0,23863.0,AD,AD97
AD98,0.0,32648.0,AD,AD98
AD99,0.0,24664.0,AD,AD99
C01,0.0,19213.0,C,C01
C02,4.0,29400.0,C,C02
C03,0.0,24977.0,C,C03
C05,0.0,19966.0,C,C05
C07,0.0,21676.0,C,C07
C08,0.0,21185.0,C,C08
C09,0.0,23248.0,C,C09
C10,0.0,20528.0,C,C10
C11,0.0,18423.0,C,C11
C12,348.0,18049.0,C,C12
C13,0.0,21319.0,C,C13
C15,0.0,20316.0,C,C15
C16,0.0,14383.0,C,C16
C17,0.0,32215.0,C,C17
C18,0.0,27138.0,C,C18
C19,13.0,22619.0,C,C19
C20,0.0,19382.0,C,C20
C21,0.0,31669.0,C,C21
C22,0.0,20047.0,C,C22
C23,0.0,16603.0,C,C23
C24,0.0,16396.0,C,C24
C25,0.0,19262.0,C,C25
C26,0.0,21746.0,C,C26
C27,0.0,20182.0,C,C27
C28,0.0,16968.0,C,C28
C29,0.0,19528.0,C,C29
C30,0.0,18077.0,C,C30
C31,0.0,15314.0,C,C31
C32,0.0,16084.0,C,C32
C33,0.0,19181.0,C,C33
C34,0.0,30675.0,C,C34
C35,0.0,21080.0,C,C35
C36,0.0,19471.0,C,C36
C39,5.0,20412.0,C,C39
C40,0.0,30784.0,C,C40
C42,21.0,16469.0,C,C42
C43,26.0,13715.0,C,C43
C44,0.0,16538.0,C,C44
C46,0.0,16895.0,C,C46
C49,0.0,21020.0,C,C49
C50,0.0,13757.0,C,C50
C51,103.0,14071.0,C,C51
C52,0.0,31815.0,C,C52
C54,0.0,36749.0,C,C54
C55,0.0,24013.0,C,C55
C57,0.0,19826.0,C,C57
C58,0.0,26364.0,C,C58
C59,0.0,18667.0,C,C59
C60,0.0,26426.0,C,C60
C61,0.0,20207.0,C,C61
C62,0.0,27991.0,C,C62
C63,0.0,18705.0,C,C63
C64,0.0,15856.0,C,C64
C71,0.0,21656.0,C,C71
C72,0.0,24933.0,C,C72
C73,3.0,15989.0,C,C73
C74,0.0,21308.0,C,C74
C75,63.0,19552.0,C,C75
C76,0.0,15808.0,C,C76
C77,0.0,22492.0,C,C77
C78,0.0,24503.0,C,C78
C79,0.0,18057.0,C,C79
C80,0.0,17210.0,C,C80
C81,12.0,16113.0,C,C81
C82,0.0,21444.0,C,C82
C83,0.0,16163.0,C,C83
C84,0.0,12620.0,C,C84
C85,120.0,12651.0,C,C85
C86,0.0,20515.0,C,C86
C87,0.0,21252.0,C,C87
C88,55.0,14727.0,C,C88
