	W	Reject null hypothesis
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	15	True
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	10	False
d__Bacteria;p__Firmicutes;c__Clostridia	10	False
d__Bacteria;p__Firmicutes;c__Bacilli	7	False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	7	False
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	5	False
d__Bacteria;p__Firmicutes;c__Incertae_Sedis	5	False
d__Bacteria;p__Campilobacterota;c__Campylobacteria	5	False
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	4	False
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	3	False
d__Bacteria;p__Bacteroidota;c__Bacteroidia	3	False
d__Bacteria;p__Firmicutes;c__Negativicutes	2	False
d__Bacteria;p__Synergistota;c__Synergistia	2	False
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	2	False
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	1	False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1	False
d__Archaea;p__Euryarchaeota;c__Methanobacteria	1	False
