id	Group	simpson
#q2:types	categorical	numeric
AD01	AD	0.96636886462326
AD04	AD	0.906836558829281
AD05	AD	0.650245311380821
AD07	AD	0.901774691238052
AD08	AD	0.611117415270484
AD09	AD	0.971344237113727
AD10	AD	0.920207309800004
AD100	AD	0.896757559194888
AD101	AD	0.857371588435192
AD102	AD	0.840198739553893
AD103	AD	0.834385010937253
AD104	AD	0.926651994803836
AD105	AD	0.945279498151302
AD106	AD	0.744456274971895
AD107	AD	0.959738556903907
AD108	AD	0.896202083679282
AD109	AD	0.741074182546499
AD11	AD	0.850384654590244
AD110	AD	0.387069895527449
AD111	AD	0.909515902503603
AD112	AD	0.923940791195477
AD113	AD	0.910077514766067
AD114	AD	0.958988833455951
AD116	AD	0.952863124317264
AD118	AD	0.960327403642574
AD119	AD	0.899241933801153
AD12	AD	0.902650868540484
AD120	AD	0.86858785143799
AD121	AD	0.934298112065471
AD122	AD	0.885143426015297
AD123	AD	0.893100023028286
AD125	AD	0.818927107138167
AD126	AD	0.939172220022953
AD127	AD	0.59868054602517
AD13	AD	0.935900602410001
AD14	AD	0.916594094236534
AD16	AD	0.81074150775838
AD17	AD	0.719817015212562
AD18	AD	0.81912022406381
AD19	AD	0.922202304990903
AD20	AD	0.887468240067047
AD21	AD	0.374577757064939
AD22	AD	0.775615865513922
AD23	AD	0.789555144080124
AD24	AD	0.829221441734447
AD25	AD	0.601893387680915
AD26	AD	0.828070217911739
AD27	AD	0.764649723108944
AD29	AD	0.866036680696353
AD30	AD	0.881722693402069
AD31	AD	0.874480191199239
AD32	AD	0.581708411941879
AD33	AD	0.886190338286394
AD34	AD	0.765474207448446
AD35	AD	0.905975790179547
AD36	AD	0.503398100024927
AD37	AD	0.919761062346656
AD40	AD	0.860848970029419
AD41	AD	0.841186071659272
AD47	AD	0.899407101323966
AD50	AD	0.963068895449952
AD53	AD	0.827041015355912
AD54	AD	0.902011078738226
AD55	AD	0.803197767304161
AD58	AD	0.769020155133491
AD59	AD	0.886050510269011
AD60	AD	0.713812868716693
AD61	AD	0.770631707462821
AD62	AD	0.757264562316008
AD63	AD	0.955929513377488
AD64	AD	0.925003209132993
AD65	AD	0.896790820758679
AD66	AD	0.823208238678693
AD67	AD	0.704883162950298
AD68	AD	0.454063762811925
AD69	AD	0.970582540664004
AD70	AD	0.74982672155195
AD71	AD	0.49050097071224
AD74	AD	0.620511885863722
AD75	AD	0.951634794617851
AD76	AD	0.816656470253679
AD77	AD	0.874381101725164
AD78	AD	0.886864140595221
AD79	AD	0.822510730084774
AD80	AD	0.81903528671385
AD83	AD	0.779691439123808
AD84	AD	0.846838481431685
AD85	AD	0.958694963715039
AD86	AD	0.841638882395279
AD88	AD	0.853365911323826
AD89	AD	0.803769974753422
AD90	AD	0.694147862456637
AD91	AD	0.833805399677377
AD92	AD	0.324072598208187
AD93	AD	0.640789702113049
AD94	AD	0.932596033995102
AD96	AD	0.825976532607809
AD97	AD	0.851689371438835
AD98	AD	0.518138458437902
AD99	AD	0.607076401681282
C01	C	0.8856303972281
C02	C	0.745596554399625
C03	C	0.957567571446269
C05	C	0.834368993250662
C07	C	0.791763819870494
C08	C	0.919226720737756
C09	C	0.867424653066087
C10	C	0.913598943845078
C11	C	0.883954346141236
C12	C	0.955445724861216
C13	C	0.917361336082199
C15	C	0.903008315242519
C16	C	0.925168707684828
C17	C	0.665224067238564
C18	C	0.899855669003057
C19	C	0.870695208822276
C20	C	0.870871363582752
C21	C	0.570408194033455
C22	C	0.951136047925923
C23	C	0.801685618004341
C24	C	0.863543118085972
C25	C	0.90798886124664
C26	C	0.843339532482958
C27	C	0.9344607025233
C28	C	0.830627523123094
C29	C	0.856539815894353
C30	C	0.916153287696489
C31	C	0.889024518976738
C32	C	0.921890281505805
C33	C	0.910342130492889
C34	C	0.571550961290018
C35	C	0.925004370267419
C36	C	0.733010968951108
C39	C	0.882446127304812
C40	C	0.511119080071296
C42	C	0.97249711220318
C43	C	0.978131963939893
C44	C	0.942409102467445
C46	C	0.936239000683241
C49	C	0.711974871469427
C50	C	0.973233976970411
C51	C	0.94631343051584
C52	C	0.621251754326103
C54	C	0.780183543308991
C55	C	0.947787934293125
C57	C	0.920409530025109
C58	C	0.880270511014627
C59	C	0.894587726173495
C60	C	0.487243793536829
C61	C	0.927886374538888
C62	C	0.902957923027569
C63	C	0.85374063644219
C64	C	0.829213496964609
C71	C	0.894080603496333
C72	C	0.975255906179099
C73	C	0.955236654094931
C74	C	0.683779118593136
C75	C	0.942018755252217
C76	C	0.905520919556951
C77	C	0.742440839873858
C78	C	0.83532183951969
C79	C	0.930954361050633
C80	C	0.875833638605178
C81	C	0.962927954810408
C82	C	0.71538013615088
C83	C	0.59099309347245
C84	C	0.970963040076753
C85	C	0.856163143827966
C86	C	0.847358586112692
C87	C	0.940400786539053
C88	C	0.967529923592013
